Proxy,Response Time (s)
157.15.45.15:8181,7.26
62.69.252.36:8080,7.59
45.174.57.26:999,8.15
103.146.184.101:8090,8.57
218.255.90.106:8002,9.09
203.142.86.249:88,9.92
38.45.242.117:999,11.89
103.164.223.53:8080,12.33
46.99.178.155:1339,12.43
103.136.162.184:8181,13.51
210.87.119.144:3127,14.50
119.157.83.34:8080,14.51
222.127.71.2:8082,14.54
45.4.148.70:8080,14.57
222.127.77.167:8082,14.68
14.251.2.2:8080,14.75
116.106.74.184:31005,14.76
177.93.40.182:999,15.05
198.145.118.92:8080,15.06
97.76.251.138:8080,15.20
61.14.233.227:1003,15.22
51.91.109.113:8118,15.33
188.72.42.18:47193,15.33
209.14.118.212:999,15.60
103.156.224.66:8080,15.61
180.178.95.142:8080,16.62
